artist,genre,country,url
DOMINIQUE BERTRAM,World Fusion,France,http://www.jazzmusicarchives.com/artist/dominique-bertram
BREAKESTRA,Funk,United States,http://www.jazzmusicarchives.com/artist/breakestra
CHRIS BUCK,Jazz Related Rock / Fusion,United States,http://www.jazzmusicarchives.com/artist/chris-buck
JOHN BUTCHER,Avant-Garde Jazz / Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/john-butcher
MICHAEL BLANCO,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/michael-blanco
ROGER BEAUJOLAIS,Hard Bop / Latin Jazz / Post Bop / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/roger-beaujolais
OLIE BRICE,Avant-Garde Jazz / Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/olie-brice
RAY BARBEE,Exotica,United States,http://www.jazzmusicarchives.com/artist/ray-barbee
CHRISTOPH BECK,Post Bop / Fusion,Germany,http://www.jazzmusicarchives.com/artist/christoph-beck
BILDERBAND,Fusion,Germany,http://www.jazzmusicarchives.com/artist/bilderband
AMY BLACK,Pop/Art Song/Folk / RnB / Blues,United States,http://www.jazzmusicarchives.com/artist/amy-black
ANN BURTON,Vocal Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/ann-burton
BRAINKILLER,Eclectic Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/brainkiller
FRANCO BAGGIANI,Avant-Garde Jazz / Fusion / Funk Jazz / Jazz Related Electronica/Hip-Hop / Post-Fusion Contemporary / Hard Bop / Eclectic Fusion,Italy,http://www.jazzmusicarchives.com/artist/franco-baggiani
BE HERE WHENEVER,Jazz Related Improv/Composition,Norway,http://www.jazzmusicarchives.com/artist/be-here-whenever
PATRICK BRADLEY,Post-Fusion Contemporary / Pop/Art Song/Folk / RnB,United States,http://www.jazzmusicarchives.com/artist/patrick-bradley
TED BROWN,Cool Jazz,United States,http://www.jazzmusicarchives.com/artist/ted-brown
BRUCE BABAD,Cool Jazz,United States,http://www.jazzmusicarchives.com/artist/bruce-babad
JIMMY BLYTHE,Classic (1920s) Jazz / Boogie Woogie Piano,United States,http://www.jazzmusicarchives.com/artist/jimmy-blythe
PATRICK BARNITT,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/patrick-barnitt
CLORA BRYANT,Bop,United States,http://www.jazzmusicarchives.com/artist/clora-bryant
BASIA) BASIA (TRZETRZELEWSKA,Pop/Art Song/Folk,Poland,http://www.jazzmusicarchives.com/artist/basia-basia-trzetrzelewska
BAD UOK,Eclectic Fusion,Italy,http://www.jazzmusicarchives.com/artist/bad-uok
JAMES T BRAXTON,Bop,United States,http://www.jazzmusicarchives.com/artist/james-t-braxton
PATRICIA BRENNAN,21st Century Modern,Mexico,http://www.jazzmusicarchives.com/artist/patricia-brennan
DAVE BETTS,Latin Rock/Soul / Latin Jazz / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/dave-betts
STEVE BEDI,Pop/Art Song/Folk,Ghana,http://www.jazzmusicarchives.com/artist/steve-bedi
KA BAIRD,Jazz Related Improv/Composition / Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/ka-baird
ALICE BABS,Vocal Jazz,Sweden,http://www.jazzmusicarchives.com/artist/alice-babs
PAOLO BACCHETTA,Eclectic Fusion,Italy,http://www.jazzmusicarchives.com/artist/paolo-bacchetta
NICKY BARBATO,Jazz Related Rock / Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/nicky-barbato
JONATHAN BARBER,Fusion,United States,http://www.jazzmusicarchives.com/artist/jonathan-barber
GATO BARBIERI,Latin Jazz / Avant-Garde Jazz / Pop/Art Song/Folk / Jazz Related Soundtracks / Post Bop,Argentina,http://www.jazzmusicarchives.com/artist/gato-barbieri
SEAMUS BLAKE,Post Bop / Hard Bop / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/seamus-blake
BLAZING REDHEADS,World Fusion / Latin Jazz,United States,http://www.jazzmusicarchives.com/artist/blazing-redheads
FLAVIO BOLTRO,Post Bop / Fusion,Italy,http://www.jazzmusicarchives.com/artist/flavio-boltro
