artist,genre,country,url
RANDY SANDKE,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/randy-sandke
PAUL SIMON,Pop/Art Song/Folk / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/paul-simon
KENNETH HAVEN SALTERS,Post Bop,United States,http://www.jazzmusicarchives.com/artist/kenneth-salters-haven
LOZ SPEYER,Hard Bop / 21st Century Modern,United Kingdom,http://www.jazzmusicarchives.com/artist/loz-speyer
BERNARDO SASSETTI,Post Bop / Jazz Related Soundtracks / Post-Fusion Contemporary,Portugal,http://www.jazzmusicarchives.com/artist/bernardo-sassetti
JOHANNA SILLANPAA,RnB / Vocal Jazz / Pop/Art Song/Folk,Canada,http://www.jazzmusicarchives.com/artist/johanna-sillanpaa
RAY & LEWIS PORTER SUHY,Fusion,United States,http://www.jazzmusicarchives.com/artist/ray-suhy-and-lewis-porter
GARY SARACHO,Fusion,United States,http://www.jazzmusicarchives.com/artist/gary-saracho
SEA LEVEL,RnB,United States,http://www.jazzmusicarchives.com/artist/sea-level
STREETWIZE,Pop/Art Song/Folk / RnB,United States,http://www.jazzmusicarchives.com/artist/streetwize
WOODY SHAW,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/woody-shaw
SEVENTY-FOUR MILES AWAY (74 MILES AWAY),Nu Jazz,Belgium,http://www.jazzmusicarchives.com/artist/74-miles-away
SEVEN FOR FOUR,Jazz Related Rock,Germany,http://www.jazzmusicarchives.com/artist/7-for-4
DAVID SOLDIER,Jazz Related Improv/Composition / Third Stream / Blues,United States,http://www.jazzmusicarchives.com/artist/david-soldier
LINDA SHARROCK,Avant-Garde Jazz / Eclectic Fusion / Vocal Jazz / RnB,United States,http://www.jazzmusicarchives.com/artist/linda-sharrock
CATHY SEGAL-GARCIA,Vocal Jazz / Pop/Art Song/Folk / RnB,United States,http://www.jazzmusicarchives.com/artist/cathy-segal-garcia
SONORHC,Jazz Related Improv/Composition,France,http://www.jazzmusicarchives.com/artist/sonorhc
DAKOTA STATON,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/dakota-staton
SAM AND THE SOUL MACHINE,Funk,United States,http://www.jazzmusicarchives.com/artist/sam-and-the-soul-machine
THE SEATBELTS,Jazz Related Soundtracks / Jazz Related Electronica/Hip-Hop,Japan,http://www.jazzmusicarchives.com/artist/the-seatbelts
DEREK (PIANO) SMITH,Swing,United Kingdom,http://www.jazzmusicarchives.com/artist/derek-smith-piano
JANNE SCHAFFER,Jazz Related Rock / Jazz Related Soundtracks,Sweden,http://www.jazzmusicarchives.com/artist/janne-schaffer
DANIEL SCHNYDER,Third Stream,Switzerland,http://www.jazzmusicarchives.com/artist/daniel-schnyder
SOLAR WIND,Jazz Related Rock,Israel,http://www.jazzmusicarchives.com/artist/solar-wind
JEREMY SISKIND,Post-Fusion Contemporary / Vocal Jazz / Third Stream,United States,http://www.jazzmusicarchives.com/artist/jeremy-siskind
MELVIN SPARKS,Soul Jazz / RnB,United States,http://www.jazzmusicarchives.com/artist/melvin-sparks
JOE STANLEY,RnB,United States,http://www.jazzmusicarchives.com/artist/joe-stanley
SPACETIME CONTINUUM,Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/spacetime-continuum
SIX-IN-ONE,Avant-Garde Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/six-in-one
THE SPANISH DONKEY,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/the-spanish-donkey
SINS OF SATAN,Funk,United States,http://www.jazzmusicarchives.com/artist/sins-of-satan
ADAM SMALE,Hard Bop,Canada,http://www.jazzmusicarchives.com/artist/adam-smale
