artist,genre,country,url
OMAR HAKIM,RnB / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/omar-hakim
JIM HALL,Post Bop / Hard Bop / Post-Fusion Contemporary / Cool Jazz / Fusion / Third Stream / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/jim-hall
HOLA PENDEJA,Fusion,Argentina,http://www.jazzmusicarchives.com/artist/hola-pendeja
MCCLENTY JR HUNTER,Soul Jazz,United States,http://www.jazzmusicarchives.com/artist/mcclenty-hunter-jr
BRENDAN HAINES,Jazz Related Rock / Jazz Related Improv/Composition,Australia,http://www.jazzmusicarchives.com/artist/brendan-haines
ZAKIR HUSSAIN,World Fusion / Jazz Related Soundtracks,India,http://www.jazzmusicarchives.com/artist/zakir-hussain
JIM HART,Hard Bop / Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/jim-hart
RON HOLLOWAY,Hard Bop / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/ron-holloway
TONI HARPER,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/toni-harper
CRAIG HANDY,Hard Bop / Soul Jazz,United States,http://www.jazzmusicarchives.com/artist/craig-handy
IAN HENDRICKSON-SMITH,Hard Bop / Soul Jazz / Pop/Art Song/Folk / Fusion,United States,http://www.jazzmusicarchives.com/artist/ian-hendrickson-smith
DANIEL HERSKEDAL,Post-Fusion Contemporary / Third Stream / World Fusion / Pop/Art Song/Folk / Nu Jazz,Norway,http://www.jazzmusicarchives.com/artist/daniel-herskedal
BO HANSSON,Exotica,Sweden,http://www.jazzmusicarchives.com/artist/bo-hansson
MAGELA HERRERA,Latin Jazz,Cuba,http://www.jazzmusicarchives.com/artist/magela-herrera
KIM HOORWEG,Vocal Jazz / Pop/Art Song/Folk,Netherlands,http://www.jazzmusicarchives.com/artist/kim-hoorweg
ADAM HOPKINS,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/adam-hopkins
HEADS OF STATE,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/heads-of-state
ERNIE HENRY,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/ernie-henry
HANNIBAL (AKA MARVIN HANNIBAL PETERSON AKA HANNIBAL LOKUMBE),Avant-Garde Jazz / Third Stream / Soul Jazz / Post Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/marvin-hannibal-peterson-aka-hannibal-aka-hannibal-lokumbe
WENDELL HARRISON,Hard Bop / RnB / Avant-Garde Jazz / Big Band,United States,http://www.jazzmusicarchives.com/artist/wendell-harrison
JAN HASENÖHRL,Big Band / Third Stream / Post-Fusion Contemporary / Jazz Related Soundtracks,Czech Republic,http://www.jazzmusicarchives.com/artist/jan-hasenohrl
MATT HOLMAN,21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/matt-holman
GLENN HORIUCHI,Avant-Garde Jazz / Third Stream / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/glenn-horiuchi
