artist,genre,country,url
US 4,Hard Bop,Denmark,http://www.jazzmusicarchives.com/artist/us-4
EMMI KAROLIINA UIMONEN,Fusion,Finland,http://www.jazzmusicarchives.com/artist/emmi-karoliina-uimonen
MASSIMO URBANI,Hard Bop / Avant-Garde Jazz / Post Bop,Italy,http://www.jazzmusicarchives.com/artist/massimo-urbani
UNI SONO,Fusion,Finland,http://www.jazzmusicarchives.com/artist/uni-sono
PHIL UPCHURCH,RnB,United States,http://www.jazzmusicarchives.com/artist/phil-upchurch
RICHARD UNDERHILL,Hard Bop,Canada,http://www.jazzmusicarchives.com/artist/richard-underhill
THE UPTOWN STRING QUARTET,Post Bop,United States,http://www.jazzmusicarchives.com/artist/the-uptown-string-quartet
UÇ UÇ,Jazz Related Rock,Turkey,http://www.jazzmusicarchives.com/artist/uc-uc
UMO HELSINKI JAZZ ORCHESTRA (UMO JAZZ ORCHESTRA),Progressive Big Band,Finland,http://www.jazzmusicarchives.com/artist/umo-helsinki-jazz-orchestra-umo-jazz-orchestra
THE UNITY BAND,African Fusion,South Africa,http://www.jazzmusicarchives.com/artist/the-unity-band
UCF JAZZ ENSEMBLE,Big Band,United States,http://www.jazzmusicarchives.com/artist/ucf-jazz-ensemble
UNK (_UNK),Eclectic Fusion,France,http://www.jazzmusicarchives.com/artist/unk-_unk
PEETER UUSKYLA,Avant-Garde Jazz,Sweden,http://www.jazzmusicarchives.com/artist/peeter-uuskyla
UNLV DEPARTMENT OF MUSIC JAZZ STUDIES PROGRAM,Big Band / Post Bop,United States,http://www.jazzmusicarchives.com/artist/unlv-department-of-music-jazz-studies-program
UNIDENTIFIED FUSION ORANGEMENT,Progressive Big Band / Post Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/unidentified-fusion-orangement
THE UNITED JAZZ AND ROCK ENSEMBLE,Fusion,Germany,http://www.jazzmusicarchives.com/artist/the-united-jazz-and-rock-ensemble
UNCLE MOE'S SPACE RANCH,Fusion,United States,http://www.jazzmusicarchives.com/artist/uncle-moes-space-ranch
UNIVERSITY OF NORTHERN IOWA JAZZ BAND ONE,Progressive Big Band / Post Bop,United States,http://www.jazzmusicarchives.com/artist/university-of-northern-iowa-jazz-band-one
MATT ULERY,Post-Fusion Contemporary / Third Stream / Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/matt-ulery
UT GRET,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/ut-gret
UZEB,Fusion,Canada,http://www.jazzmusicarchives.com/artist/uzeb
UNIVERSAL INDIANS,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/universal-indians
UKANDANZ,Eclectic Fusion,Ethiopia,http://www.jazzmusicarchives.com/artist/ukandanz
UNHINGED SEXTET,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/unhinged-sextet
PETAR UGRIN,Post-Fusion Contemporary,Slovenia,http://www.jazzmusicarchives.com/artist/petar-ugrin
DAVID ULLMANN,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/david-ullmann
JEREMY UDDEN,Post-Fusion Contemporary / Post Bop / Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/jeremy-udden
GEBHARD ULLMANN,Avant-Garde Jazz / Fusion / Progressive Big Band / Post-Fusion Contemporary,Germany,http://www.jazzmusicarchives.com/artist/gebhard-ullmann
THE UNDISPUTED TRUTH,RnB / Funk,United States,http://www.jazzmusicarchives.com/artist/the-undisputed-truth
ADAM UNSWORTH,Third Stream / Post Bop,United States,http://www.jazzmusicarchives.com/artist/adam-unsworth
GARY URWIN,Big Band,United States,http://www.jazzmusicarchives.com/artist/gary-urwin
UNCLE CHAPIN,RnB,United States,http://www.jazzmusicarchives.com/artist/uncle-chapin
MICHAL URBANIAK,Fusion / Post Bop / World Fusion / RnB / Pop/Art Song/Folk / Jazz Related Soundtracks / Eclectic Fusion / Dub/Ska/Reggae / Cool Jazz,Poland,http://www.jazzmusicarchives.com/artist/michal-urbaniak
THE UNIVERSITY OF NORTH TEXAS LAB BANDS,Big Band,United States,http://www.jazzmusicarchives.com/artist/the-university-of-north-texas-lab-bands
HIDEAKI URA,Fusion,Japan,http://www.jazzmusicarchives.com/artist/hideaki-ura
UTOPIANISTI,Jazz Related Rock,Finland,http://www.jazzmusicarchives.com/artist/utopianisti
PIERO UMILIANI,Jazz Related Soundtracks / Exotica / Jazz Related Electronica/Hip-Hop,Italy,http://www.jazzmusicarchives.com/artist/piero-umiliani
URGE TRIO (CHRISTOPH ERB - KEEFE JACKSON - TOMEKA REID),Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/urge-trio-christoph-erb-keefe-jackson-tomeka-reid
UNAKA PRONG,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/unaka-prong
LISA ULLÉN,Avant-Garde Jazz / Post-Fusion Contemporary / Jazz Related Improv/Composition,Korea,http://www.jazzmusicarchives.com/artist/lisa-ullen
URALSKY ALL STARS,Swing / Dixieland,Russia,http://www.jazzmusicarchives.com/artist/uralsky-all-stars
URBANITY,RnB,Australia,http://www.jazzmusicarchives.com/artist/urbanity
JUKKIS UOTILA,Post Bop,Finland,http://www.jazzmusicarchives.com/artist/jukkis-uotila
AURA URZICEANU,Vocal Jazz / Pop/Art Song/Folk / RnB,Romania,http://www.jazzmusicarchives.com/artist/aura-urziceanu
THE UNDERFLOW,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/the-underflow
UNITING OF OPPOSITES,World Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/uniting-of-opposites
RENÉ URTREGER,Hard Bop / Vocal Jazz,France,http://www.jazzmusicarchives.com/artist/rene-urtreger
PHIL URSO,Cool Jazz / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/phil-urso
LARS-GÖRAN ULANDER,Avant-Garde Jazz,Sweden,http://www.jazzmusicarchives.com/artist/lars-goran-ulander
UPTOWN VOCAL JAZZ QUARTET,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/uptown-vocal-jazz-quartet
UNOBSTRUCTED UNIVERSE,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/unobstructed-universe
UNDER THE REEFS ORCHESTRA,Jazz Related Rock,Belgium,http://www.jazzmusicarchives.com/artist/under-the-reefs-orchestra
ULTERIOR LUX,Jazz Related Improv/Composition / Eclectic Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/ulterior-lux
JAMES BLOOD ULMER,Eclectic Fusion / Blues / Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/james-blood-ulmer
