artist,genre,country,url
MICHEL EDELIN,Avant-Garde Jazz / 21st Century Modern / Jazz Related Soundtracks,France,http://www.jazzmusicarchives.com/artist/michel-edelin
GABE EVENS,Hard Bop / Post Bop / Soul Jazz / Exotica,United States,http://www.jazzmusicarchives.com/artist/gabe-evens
ELECTRIC SQUEEZEBOX ORCHESTRA,Progressive Big Band,United States,http://www.jazzmusicarchives.com/artist/electric-squeezebox-orchestra
MARIO ERMOLI,Nu Jazz,Italy,http://www.jazzmusicarchives.com/artist/mario-ermoli
FALKNER EVANS,Post Bop / Post-Fusion Contemporary / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/falkner-evans
PEE WEE ERWIN,Swing / Dixieland / Ragtime,United States,http://www.jazzmusicarchives.com/artist/pee-wee-erwin
RODDY ELLIAS,Post-Fusion Contemporary,Canada,http://www.jazzmusicarchives.com/artist/roddy-ellias
RICHARD ELLIOT,Pop/Art Song/Folk / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/richard-elliot
MARTY ELKINS,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/marty-elkins
HERB ELLIS,Bop / Bossa Nova / Swing,United States,http://www.jazzmusicarchives.com/artist/herb-ellis
PETER ECKLUND,Swing / Pop/Art Song/Folk / Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/peter-ecklund
DANIEL ERDMANN,Avant-Garde Jazz / 21st Century Modern / Post-Fusion Contemporary / Eclectic Fusion,Germany,http://www.jazzmusicarchives.com/artist/daniel-erdmann
TONI ESPOSITO,Fusion,Italy,http://www.jazzmusicarchives.com/artist/toni-esposito
EUROPEAN MOVEMENT JAZZ ORCHESTRA,Third Stream,Multi-National,http://www.jazzmusicarchives.com/artist/european-movement-jazz-orchestra
ENSEMBLE NOVA,Bossa Nova,United States,http://www.jazzmusicarchives.com/artist/ensemble-nova
CONNIE EVINGSON,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/connie-evingson
EMPEROR PENGUIN,Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/emperor-penguin
BILL EVANS (SAX),Post Bop / Fusion / Funk Jazz / Big Band / RnB / Progressive Big Band / Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/bill-evans-sax
HUBERT EAVES,RnB,United States,http://www.jazzmusicarchives.com/artist/hubert-eaves
MATS EILERTSEN,Post-Fusion Contemporary / Jazz Related Improv/Composition / Third Stream,Norway,http://www.jazzmusicarchives.com/artist/mats-eilertsen
KEVIN EUBANKS,Fusion / Post-Fusion Contemporary / Post Bop,United States,http://www.jazzmusicarchives.com/artist/kevin-eubanks
GREG ESSIG,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/greg-essig
EUPHORIUM_FREAKESTRA,Avant-Garde Jazz / Jazz Related Improv/Composition / Eclectic Fusion,Germany,http://www.jazzmusicarchives.com/artist/euphorium_freakestra
KEITH EMERSON,Jazz Related Soundtracks / Jazz Related Rock / Third Stream / Soul Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/keith-emerson
ANDY EMLER,Post-Fusion Contemporary / Eclectic Fusion / Avant-Garde Jazz,France,http://www.jazzmusicarchives.com/artist/andy-emler-claude-tchamitchian-and-eric-echampard
KELLYLEE EVANS,RnB,Canada,http://www.jazzmusicarchives.com/artist/kellylee-evans
EARTH WIND & FIRE,RnB / Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/earth-wind-and-fire
İLHAN ERŞAHIN,Nu Jazz / World Fusion,Sweden,http://www.jazzmusicarchives.com/artist/ilhan-ersahin
KURT ELLING,Vocal Jazz / RnB,United States,http://www.jazzmusicarchives.com/artist/kurt-elling
GIL EVANS,Progressive Big Band / Latin Jazz / Fusion / Avant-Garde Jazz,Canada,http://www.jazzmusicarchives.com/artist/gil-evans
LUDOVIC ERNAULT,Post-Fusion Contemporary / Fusion,France,http://www.jazzmusicarchives.com/artist/ludovic-ernault
ENTRANCE,Fusion / Nu Jazz,Denmark,http://www.jazzmusicarchives.com/artist/entrance(denmark)
