artist,genre,country,url
TOM WETMORE,Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/tom-wetmore
DOUG WHITE,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/doug-white
BEN WEBSTER,Swing / Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/ben-webster
THE WHAMMIES,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/the-whammies
FILIP WOJCIECHOWSKI,Third Stream,Poland,http://www.jazzmusicarchives.com/artist/filip-wojciechowski
MARK WHITFIELD,Hard Bop / RnB / Post-Fusion Contemporary / Fusion / Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/mark-whitfield
LUKE WINSLOW-KING,Blues,United States,http://www.jazzmusicarchives.com/artist/luke-winslow-king
LEE WANNER,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/lee-wanner
SIPPIE WALLACE,Blues,United States,http://www.jazzmusicarchives.com/artist/sippie-wallace
DAVID WHITMAN,Hard Bop / Soul Jazz / Post Bop,United States,http://www.jazzmusicarchives.com/artist/david-whitman
ANTHONY WILSON,Hard Bop / Pop/Art Song/Folk / Third Stream / Soul Jazz / Post-Fusion Contemporary / Jazz Related Improv/Composition / Exotica,United States,http://www.jazzmusicarchives.com/artist/anthony-wilson
EDDY WILSON,Afro-Cuban Jazz,(not set),http://www.jazzmusicarchives.com/artist/eddy-wilson
WOLFF AND CLARK EXPEDITION,Fusion,United States,http://www.jazzmusicarchives.com/artist/wolff-and-clark-expedition
JAMIRE WILLIAMS,Jazz Related Improv/Composition / Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/jamire-williams
KRYSTLE WARREN,Pop/Art Song/Folk / Blues,United States,http://www.jazzmusicarchives.com/artist/krystle-warren
CHRISTINE WODRASCKA,Jazz Related Improv/Composition,France,http://www.jazzmusicarchives.com/artist/christine-wodrascka
TONY WOODS,Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/tony-woods
WASHBOARD RHYTHM KINGS,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/washboard-rhythm-kings
CHRIS CONNECTED WHITEHOUSE'S,Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/chris-whitehouses-connected
HEATH WATTS,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/heath-watts
PHILIPP WISSER,Post Bop,Germany,http://www.jazzmusicarchives.com/artist/philipp-wisser
JOHN WRIGHT,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/john-wright
SANDY WILLIAMS,Swing,United States,http://www.jazzmusicarchives.com/artist/sandy-williams
SUNAO WADA,Hard Bop / Vocal Jazz,Japan,http://www.jazzmusicarchives.com/artist/sunao-wada
KAMAAL WILLIAMS,Jazz Related Electronica/Hip-Hop / Acid Jazz / Nu Jazz / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/kamaal-williams
PAUL (SAXOPHONE) WILLIAMSON,Soul Jazz / Blues,Australia,http://www.jazzmusicarchives.com/artist/paul-williamson-saxophone
FRANK WOESTE,Post-Fusion Contemporary / Nu Jazz,Germany,http://www.jazzmusicarchives.com/artist/frank-woeste
MARK WINKLER,Vocal Jazz / Pop/Art Song/Folk / RnB,United States,http://www.jazzmusicarchives.com/artist/mark-winkler
MONTY WATERS,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/monty-waters
ERNIE WILKINS,Swing / Big Band,United States,http://www.jazzmusicarchives.com/artist/ernie-wilkins
PETER WHITE,Pop/Art Song/Folk,United Kingdom,http://www.jazzmusicarchives.com/artist/peter-white
LAUREN WHITE,Vocal Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/lauren-white
SPENCER WILLIAMS,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/spencer-williams
BERNIE WORELL,Funk / Eclectic Fusion / Post-Fusion Contemporary / Fusion,United States,http://www.jazzmusicarchives.com/artist/bernie-worrell
THE WATERSHED,Nu Jazz,France,http://www.jazzmusicarchives.com/artist/the-watershed
BEN WINKELMAN,Post Bop / Latin Jazz / 21st Century Modern,Australia,http://www.jazzmusicarchives.com/artist/ben-winkelman
PETE WALLACE,Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/pete-wallace
BRAD WHITELEY,Hard Bop / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/brad-whiteley
MALA WALDRON,Vocal Jazz / RnB / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/mala-waldron
BRAD WALKER,Fusion / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/brad-walker
THE WASHINGTONIANS,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/the-washingtonians
JOE WEBB,Post Bop / Exotica / 21st Century Modern,United Kingdom,http://www.jazzmusicarchives.com/artist/joe-webb
JUNIOR WATSON,Jump Blues / RnB / Blues,United States,http://www.jazzmusicarchives.com/artist/junior-watson
GARLAND WILSON,Stride Piano,United States,http://www.jazzmusicarchives.com/artist/garland-wilson
JOHNNY WINTER,Blues / Jazz Related Rock / RnB,United States,http://www.jazzmusicarchives.com/artist/johnny-winter
WALKING DISTANCE,Avant-Garde Jazz / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/walking-distance
SEYMOUR WRIGHT,Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/seymour-wright
WHIRLPOOL,21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/whirlpool
DICK WELLSTOOD,Stride Piano / Swing / Dixieland,United States,http://www.jazzmusicarchives.com/artist/dick-wellstood
MARC WAGNON,Fusion / Vocal Jazz / Eclectic Fusion,Switzerland,http://www.jazzmusicarchives.com/artist/marc-wagnon
RANDY WALDMAN,Pop/Art Song/Folk / Third Stream / Post Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/randy-waldman
SADAO WATANABE,Pop/Art Song/Folk / Hard Bop / Post Bop / Fusion / Latin Jazz / Bossa Nova / Big Band / World Fusion / Third Stream / Soul Jazz / Jazz Related Soundtracks / Avant-Garde Jazz / Bop,Japan,http://www.jazzmusicarchives.com/artist/sadao-watanabe
FRED WESLEY,Funk Jazz / Funk,United States,http://www.jazzmusicarchives.com/artist/fred-wesley
WATCHDOG,Nu Jazz,France,http://www.jazzmusicarchives.com/artist/watchdog
JOHN WOJCIECHOWSKI,Post Bop,United States,http://www.jazzmusicarchives.com/artist/john-wojciechowski
DAN WEISS,Eclectic Fusion / Avant-Garde Jazz / World Fusion / Post-Fusion Contemporary / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/dan-weiss
THE WILD MANS BAND,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/the-wild-mans-band
ROBERT WYATT,Vocal Jazz / Jazz Related Rock / Pop/Art Song/Folk / Jazz Related Soundtracks / Avant-Garde Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/robert-wyatt
PATTY WATERS,Avant-Garde Jazz / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/patty-waters
PETER WARREN,Avant-Garde Jazz / Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/peter-warren
WAY OUT WEST,World Fusion,Australia,http://www.jazzmusicarchives.com/artist/way-out-west
MAREIKE WIENING,Post Bop / 21st Century Modern,Germany,http://www.jazzmusicarchives.com/artist/mareike-wiening
ALEX WYATT,Post Bop,United States,http://www.jazzmusicarchives.com/artist/alex-wyatt
DAVID T WALKER,RnB / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/david-t-walker
KENNY WHEELER,Post Bop / Avant-Garde Jazz / Progressive Big Band / Post-Fusion Contemporary / Vocal Jazz / Third Stream,Canada,http://www.jazzmusicarchives.com/artist/kenny-wheeler
NANCY WILSON,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/nancy-wilson
IRENEUSZ (IREK) WOJTCZAK,Eclectic Fusion / World Fusion / Avant-Garde Jazz / 21st Century Modern,Poland,http://www.jazzmusicarchives.com/artist/ireneusz-irek-wojtczak
WILDING BONUS,Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/wilding-bonus
SUNNY WILKINSON,Vocal Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/sunny-wilkinson
BOOKER T. WILLIAMS,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/booker-t-williams
ESTER WIESNEROVA,Vocal Jazz,Slovakia,http://www.jazzmusicarchives.com/artist/ester-wiesnerova
