artist,genre,country,url
ABRAXIS,Fusion,Belgium,http://www.jazzmusicarchives.com/artist/abraxis
DAVID AMRAM,Third Stream / Latin Jazz / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/david-amram
AMANOJAKU 天邪鬼,Avant-Garde Jazz,Japan,http://www.jazzmusicarchives.com/artist/amanojaku-天邪鬼
BEEGIE ADAIR,Cool Jazz / Pop/Art Song/Folk / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/beegie-adair
ATTE AHO,Fusion,Finland,http://www.jazzmusicarchives.com/artist/atte-aho
LOREZ ALEXANDRIA,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/lorez-alexandria
ALKOTRIO,Jazz Related Rock,Russia,http://www.jazzmusicarchives.com/artist/alkotrio
AKKU,Jazz Related Improv/Composition,Norway,http://www.jazzmusicarchives.com/artist/akku
ASTA (ANTONIO FARAÒ - SYLVAIN BEUF -THOMAS BRAMERIE - ANDRÉ CECCARELLI),Post Bop,Multi-National,http://www.jazzmusicarchives.com/artist/asta-antonio-farao-sylvain-beuf-thomas-bramerie-andre-ceccarelli
AMADOU AND MARIAM,African Fusion,Mali,http://www.jazzmusicarchives.com/artist/amadou-and-mariam
SERGEJ AVANESOV,21st Century Modern,Russia,http://www.jazzmusicarchives.com/artist/sergej-avanesov
TONY ADAMO,RnB / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/tony-adamo
AIR JAZZ QUARTET,Post-Fusion Contemporary,France,http://www.jazzmusicarchives.com/artist/air-jazz-quartet
MIGUEL AMADO,Fusion,Portugal,http://www.jazzmusicarchives.com/artist/miguel-amado
THANA ALEXA,Vocal Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/thana-alexa(united-states)
JOHNNY ALF,Bossa Nova,Brazil,http://www.jazzmusicarchives.com/artist/johnny-alf
ADA TRIO (BROTZMANN / LONBERG-HOLM / NILSSEN-LOVE),Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/ada-trio-brotzmann-lonberg-holm-nilssen-love
LOTTE ANKER,Avant-Garde Jazz,Denmark,http://www.jazzmusicarchives.com/artist/lotte-anker
GONÇALO ALMEIDA,Jazz Related Improv/Composition / Avant-Garde Jazz,Portugal,http://www.jazzmusicarchives.com/artist/goncalo-almeida
GEORGE ADAMS,Post Bop / Avant-Garde Jazz / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/george-adams
RASHIED AL AKBAR,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/rashied-al-akbar
MARK ALLAWAY,Post Bop / Jazz Related Soundtracks / Pop/Art Song/Folk / Post-Fusion Contemporary / Hard Bop / Avant-Garde Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/mark-allaway
"HENRY ""RED"" ALLEN",Original New Orleans Jazz,United States,http://www.jazzmusicarchives.com/artist/henry-red-allen
THE AMBUSH PARTY,Avant-Garde Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/the-ambush-party
ARCUS TRIO,Eclectic Fusion,Romania,http://www.jazzmusicarchives.com/artist/arcus-trio
CLAUDIA ACUÑA,Pop/Art Song/Folk,Chile,http://www.jazzmusicarchives.com/artist/claudia-acuna
APARAT,Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/aparat
AHLEUCHATISTAS,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/ahleuchatistas
SHARON AZRIELI,Vocal Jazz,Canada,http://www.jazzmusicarchives.com/artist/sharon-azrieli
HOWARD ALDEN,Swing,United States,http://www.jazzmusicarchives.com/artist/howard-alden
ANGLES,Eclectic Fusion / Nu Jazz / Avant-Garde Jazz,Sweden,http://www.jazzmusicarchives.com/artist/angles
DON ALIQUO,Hard Bop / Post Bop,United States,http://www.jazzmusicarchives.com/artist/don-aliquo
ARID GARDEN,Pop/Art Song/Folk,Italy,http://www.jazzmusicarchives.com/artist/arid-garden
ARTBEATERS,Fusion,Slovenia,http://www.jazzmusicarchives.com/artist/artbeaters
MUHAL RICHARD ABRAMS,Avant-Garde Jazz / Third Stream,United States,http://www.jazzmusicarchives.com/artist/muhal-richard-abrams
JASON ANICK,Swing / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/jason-anick
AHMED أحمد,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/ahmed
ROY ASSAF,Post Bop,Israel,http://www.jazzmusicarchives.com/artist/roy-assaf
AZMARI,World Fusion,Belgium,http://www.jazzmusicarchives.com/artist/azmari
ALGERNON,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/algernon
ARIEL,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/ariel
AFURIKO,World Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/afuriko
