artist,genre,country,url
MENÚ DEL DÍA,Jazz Related Rock,Chile,http://www.jazzmusicarchives.com/artist/menu-del-dia
RAY MILLER,Big Band,United States,http://www.jazzmusicarchives.com/artist/ray-miller
MJT + 3,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/mjt-3
MOON HOTEL LOUNGE PROJECT,Exotica,United States,http://www.jazzmusicarchives.com/artist/moon-hotel-lounge-project
MATRIX,Fusion,United States,http://www.jazzmusicarchives.com/artist/matrix
MOUNTAIN MOCHA KILIMANJARO,Funk Jazz,Japan,http://www.jazzmusicarchives.com/artist/mountain-mocha-kilimanjaro
TONY MORENO,Post Bop,United States,http://www.jazzmusicarchives.com/artist/tony-moreno
MONICA MANCINI,Pop/Art Song/Folk / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/monica-mancini
MARIAN MCPARTLAND,Post Bop / Swing / Bop / Hard Bop / Vocal Jazz / Pop/Art Song/Folk / Blues / Stride Piano / RnB / Ragtime / Dixieland / Bossa Nova,United Kingdom,http://www.jazzmusicarchives.com/artist/marian-mcpartland
PAUL MOTIAN,Post Bop / Eclectic Fusion / Avant-Garde Jazz / Post-Fusion Contemporary / Hard Bop / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/paul-motian
BILL MCHENRY,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/bill-mchenry
MRS. FUN,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/mrs-fun
MIT FESTIVAL JAZZ ENSEMBLE,Third Stream,United States,http://www.jazzmusicarchives.com/artist/mit-festival-jazz-ensemble
JON MENGES,Post Bop,United States,http://www.jazzmusicarchives.com/artist/jon-menges
SHAI MAESTRO,Post-Fusion Contemporary / Fusion / Eclectic Fusion,Israel,http://www.jazzmusicarchives.com/artist/shai-maestro
LOUIS MATUTE,Fusion / World Fusion,Switzerland,http://www.jazzmusicarchives.com/artist/louis-matute
MERCABA,Fusion,United States,http://www.jazzmusicarchives.com/artist/mercaba
MO'FONE,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/mofone
PAULA MORELENBAUM,Bossa Nova / Latin Jazz,Brazil,http://www.jazzmusicarchives.com/artist/paula-morelenbaum
MIKE MORENO,Post Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/mike-moreno
WILLIE MITCHELL,RnB / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/willie-mitchell
BILLY MAY,Pop/Art Song/Folk / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/billy-may
TYLER MITCHELL,21st Century Modern / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/tyler-mitchell
WILBER MORRIS,Avant-Garde Jazz / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/wilber-morris
MANNA/MIRAGE,Jazz Related Rock / Fusion / Nu Jazz,United States,http://www.jazzmusicarchives.com/artist/mannamirage
ROBERTO MENESCAL,Bossa Nova,Brazil,http://www.jazzmusicarchives.com/artist/roberto-menescal
THE MOUNT FUJI DOOMJAZZ CORPORATION,Jazz Related Improv/Composition,Netherlands,http://www.jazzmusicarchives.com/artist/the-mount-fuji-doomjazz-corporation
MYSTERIES OF THE REVOLUTION,Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/mysteries-of-the-revolution
IBRAHIM MAALOUF,World Fusion / Jazz Related Soundtracks / Third Stream / Pop/Art Song/Folk / Jazz Related Electronica/Hip-Hop / Fusion / Eclectic Fusion,Lebanon,http://www.jazzmusicarchives.com/artist/ibrahim-maalouf
CLAUDIO (NICHELODEON) MILANO,Jazz Related Improv/Composition / Third Stream,Italy,http://www.jazzmusicarchives.com/artist/claudio-milano-nichelodeon
MEDIABANDA,Eclectic Fusion,Chile,http://www.jazzmusicarchives.com/artist/mediabanda
CHRISTIAN MARCLAY,Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/christian-marclay
MATAO,Fusion,Denmark,http://www.jazzmusicarchives.com/artist/matao(denmark)
BOBBY MCFERRIN,Vocal Jazz / Third Stream / Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/bobby-mcferrin
MASTER CYLINDER,Fusion,United States,http://www.jazzmusicarchives.com/artist/master-cylinder
LES MCCANN,Soul Jazz / RnB / Hard Bop / Fusion / Exotica / Big Band / Afro-Cuban Jazz,United States,http://www.jazzmusicarchives.com/artist/les-mccann
HANK MARVIN,Exotica / Jazz Related Rock,United Kingdom,http://www.jazzmusicarchives.com/artist/hank-marvin
SHELLY MANNE,Cool Jazz / Jazz Related Soundtracks / Swing / Hard Bop / Big Band / Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/shelly-manne
MINGUS BIG BAND,Progressive Big Band,United States,http://www.jazzmusicarchives.com/artist/mingus-big-band
MIRE III (JOONA TOIVANEN - THOMAS MARKUSSON - JOHAN BJÖRKLUND),Post-Fusion Contemporary,Multi-National,http://www.jazzmusicarchives.com/artist/mire-iii-joona-toivanen-thomas-markusson-johan-bjorklund
VITO DI MODUGNO,Hard Bop,Italy,http://www.jazzmusicarchives.com/artist/vito-di-modugno
MÖRGLBL,Jazz Related Rock,France,http://www.jazzmusicarchives.com/artist/morglbl
GARY MEEK,World Fusion / Fusion / Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/gary-meek
MITCH MARCUS,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/mitch-marcus
AMIRA MEDUNJANIN,World Fusion / Third Stream,Bosnia and Herzegovina,http://www.jazzmusicarchives.com/artist/amira-medunjanin
THE MIGHTY CLOUDS OF JOY,Jazz Related Gospel,United States,http://www.jazzmusicarchives.com/artist/the-mighty-clouds-of-joy
BENY MORÉ,Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/beny-more
MAISHA,African Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/maisha
MIKROKOLEKTYW,Nu Jazz / Jazz Related Improv/Composition / Avant-Garde Jazz,Poland,http://www.jazzmusicarchives.com/artist/mikrokolektyw
MOSAIK,Fusion,Germany,http://www.jazzmusicarchives.com/artist/mosaik
MICHAŁ MARTYNIUK,Post-Fusion Contemporary / Post Bop,Poland,http://www.jazzmusicarchives.com/artist/michal-martyniuk
METTE HENRIETTE (METTE HENRIETTE MARTEDATTER RØLVÅG),Third Stream,Norway,http://www.jazzmusicarchives.com/artist/mette-henriette-mette-henriette-martedatter-rølvag
TERRACE MARTIN,RnB / Jazz Related Electronica/Hip-Hop / Fusion,United States,http://www.jazzmusicarchives.com/artist/terrace-martin
DALI MRÁZ,Fusion,Czech Republic,http://www.jazzmusicarchives.com/artist/dali-mraz
DOMINIC MILLER,Post-Fusion Contemporary / Third Stream / Latin Jazz,Argentina,http://www.jazzmusicarchives.com/artist/dominic-miller
AJA MONET,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/aja-monet
MESSENGERS,Jazz Related Rock,Germany,http://www.jazzmusicarchives.com/artist/messengers
THE MONTGOMERY BROTHERS,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/the-montgomery-brothers
BRANFORD MARSALIS,Post Bop / Third Stream / Jazz Related Soundtracks / Vocal Jazz / Post-Fusion Contemporary / Blues,United States,http://www.jazzmusicarchives.com/artist/branford-marsalis
ROB MCCONNELL,Big Band / Hard Bop / Pop/Art Song/Folk,Canada,http://www.jazzmusicarchives.com/artist/rob-mcconnell
MONOCLED MAN,Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/monocled-man
MADHOUSE,RnB,United States,http://www.jazzmusicarchives.com/artist/madhouse
JASMINE MYRA,Post-Fusion Contemporary,United Kingdom,http://www.jazzmusicarchives.com/artist/jasmine-myra
MALNOIA,Third Stream,Netherlands,http://www.jazzmusicarchives.com/artist/malnoia
MAURER BAN MANERI,Third Stream,Multi-National,http://www.jazzmusicarchives.com/artist/maurer-ban-maneri
JUSTIN MITCHELL,Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/justin-mitchell
BUTCH MILES,Swing / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/butch-miles
SADE MANGIARACINA,Fusion / Post-Fusion Contemporary,Italy,http://www.jazzmusicarchives.com/artist/sade-mangiaracina
HAL MCKUSICK,Cool Jazz / Jazz Education / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/hal-mckusick
TYPHANIE MONIQUE,Vocal Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/typhanie-monique
