artist,genre,country,url
BOOKER LITTLE,Hard Bop / Soul Jazz,United States,http://www.jazzmusicarchives.com/artist/booker-little
JACK LEE,Post-Fusion Contemporary / Post Bop,Korea,http://www.jazzmusicarchives.com/artist/jack-lee
LAND OF KUSH,Progressive Big Band,Canada,http://www.jazzmusicarchives.com/artist/land-of-kush
RAY LINN,Dixieland,United States,http://www.jazzmusicarchives.com/artist/ray-linn
ALLEN LOWE,Eclectic Fusion / 21st Century Modern / Post Bop / Avant-Garde Jazz / Progressive Big Band,United States,http://www.jazzmusicarchives.com/artist/allen-lowe
THE LEBRON BROTHERS,Afro-Cuban Jazz,United States,http://www.jazzmusicarchives.com/artist/the-lebron-brothers
DENIS LAPASSION,World Fusion,French Guiana,http://www.jazzmusicarchives.com/artist/denis-lapassion
LA SONORA PONCEÑA,Afro-Cuban Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/la-sonora-poncena
CHRISTOF LAUER,Avant-Garde Jazz / Post-Fusion Contemporary / Third Stream / Post Bop / Big Band,Germany,http://www.jazzmusicarchives.com/artist/christof-lauer
EDEN LADIN,Post-Fusion Contemporary,Israel,http://www.jazzmusicarchives.com/artist/eden-ladin
THOMAS LAFFONT,Fusion,France,http://www.jazzmusicarchives.com/artist/thomas-laffont
BONGWOOL LEE,Post Bop,Korea,http://www.jazzmusicarchives.com/artist/bongwool-lee
GUY LAFITTE,Swing,France,http://www.jazzmusicarchives.com/artist/guy-lafitte
CHRISTIAN LILLINGER,Avant-Garde Jazz / Jazz Related Improv/Composition / 21st Century Modern,Germany,http://www.jazzmusicarchives.com/artist/christian-lillinger
JULIE LAMONTAGNE,Post-Fusion Contemporary / Third Stream,Canada,http://www.jazzmusicarchives.com/artist/julie-lamontagne
MARC LEVIN,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/marc-levin
SARAH LENKA,Vocal Jazz / Pop/Art Song/Folk / Blues,France,http://www.jazzmusicarchives.com/artist/sarah-lenka
LITTLE WALTER,Blues,United States,http://www.jazzmusicarchives.com/artist/little-walter
EMMA LARSSON,Vocal Jazz,Sweden,http://www.jazzmusicarchives.com/artist/emma-larsson
BABATUNDE LEA,World Fusion,United States,http://www.jazzmusicarchives.com/artist/babatunde-lea
CLAUDIA LENNEAR,RnB,United States,http://www.jazzmusicarchives.com/artist/claudia-lennear
JON LUNDBOM,Eclectic Fusion / 21st Century Modern / Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/jon-lundbom
JIMMY LYONS,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/jimmy-lyons
CATRINA DAIMON (DOMINA CATRINA LEE) LEE,Nu Jazz,Singapore,http://www.jazzmusicarchives.com/artist/catrina-daimon-lee-domina-catrina-lee
KIRK LIGHTSEY,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/kirk-lightsey
SON LITTLE,RnB,United States,http://www.jazzmusicarchives.com/artist/son-little
JAKE LANGLEY,Hard Bop,Canada,http://www.jazzmusicarchives.com/artist/jake-langley
LORNE LOFSKY,Post Bop / Hard Bop,Canada,http://www.jazzmusicarchives.com/artist/lorne-lofsky
LOGIC,Fusion,Australia,http://www.jazzmusicarchives.com/artist/logic
LIL ED & THE BLUES IMPERIALS,Blues,United States,http://www.jazzmusicarchives.com/artist/lil-ed-and-the-blues-imperials
JOHN / SCATMAN JOHN LARKIN,Jazz Related Electronica/Hip-Hop / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/john-larkin-scatman-john
SVEN LIBÆK,Exotica / Jazz Related Soundtracks,Norway,http://www.jazzmusicarchives.com/artist/sven-libæk
ODED LEV-ARI,Pop/Art Song/Folk,Israel,http://www.jazzmusicarchives.com/artist/oded-lev-ari
PIOTR LEMAŃCZYK,Avant-Garde Jazz / Fusion / Eclectic Fusion / 21st Century Modern,Poland,http://www.jazzmusicarchives.com/artist/piotr-lemanczyk
LEBOCAL,Progressive Big Band,France,http://www.jazzmusicarchives.com/artist/lebocal
LED BIB,Eclectic Fusion / Pop/Art Song/Folk,United Kingdom,http://www.jazzmusicarchives.com/artist/led-bib
RON LEDOUX,Hard Bop,Canada,http://www.jazzmusicarchives.com/artist/ron-ledoux
JEREMY LEVY,Third Stream,United States,http://www.jazzmusicarchives.com/artist/jeremy-levy
HUGH LAWSON,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/hugh-lawson
LET SPIN,Eclectic Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/let-spin
