name,country,period
Agus Barandiaran / Javier Limon,,
Agus Barandiaran / Justin Vali,,
Agus Barandiaran / Liron Man,,
Agus Barandiaran / Quique Peon / Aleix Tobias,,
Džemal Agušev,MKD,
Isin Agušev,MKD,
Eden (George Alexander Aberle) Ahbez,USA,
Herman Ahlberg,SWE,Late- / Post-Romantic
Johann Rudolph Ahle,DEU,Baroque
(Gustaf) Waldemar Åhlén,SWE,Modern
Fred Ahlert,USA,
Harri Ahmas,FIN,Contemporary
Oscar Ahnfelt,SWE,Romantic
Jin-Ah Ahn,KOR,Contemporary
Kalevi Ensio Aho,FIN,Contemporary
Sanna Ahvenjärvi,FIN,Contemporary
Gregor Aichinger,DEU,Baroque
Anselmo Aieta,ARG,
James Aikman,USA,Contemporary
Leib Ailenberg,NLD,
Joan Airas de Santiago,ESP,Medieval
Grigory Airiyan,,
Hugh Aitken,USA,Contemporary
Somar Ajalyaqin,SYR/ARE,
Alexander Ajemyan,ARM,Modern
Ke Jian A,CHN,Modern
Samuel Akeroyde,ENG,Baroque
Sergey Akhunov,RUS,
Andy Akiho,USA,Contemporary
Théodore Akimenko,UKR,
Toshiko Akiyoshi,USA,
Samuel Ekpe Akpabot,NGA,
Necil Kâzim Akses,TUR,Modern
Harry Akst,USA,Modern
Yasushi Akutagawa,JPN,Modern
Albert Alain,,
Jehan Ariste Alain,FRA,Modern
Juan Alais,,
Timo Alakotila,FIN,
Domenico Alaleona,ITA,
Pierre Alamire,,
Juan Álamo,,
Alan Bergman / Marilyn Bergman / Stephen Paulus,,
Alan Lerner / Daniel Sutton / Kurt Weill,,
Luis Serrano Alarcón,,
Jean-Delphin Alard,FRA,Romantic
Frédéric Alarie,,
Alonso Pérez de Alba,ESP,Renaissance
Isaac Albéniz,ESP,Late- / Post-Romantic
Mateo Albéniz,ESP,Classical
Pere Alberch y Vila,,
Eleanor Alberga,ENG,Contemporary
Pirro Capacelli Albergati,,
Sebastiàn de Albero,ESP,Baroque
Andrea Chamizo Alberro,,
Adrienne Albert,,Modern
Heinrich Albert,DEU,Baroque
Ferruccio Carlo Alberti,,
Giuseppe Matteo Alberti,ITA,Baroque
Innocenzio Alberti,,
Ignazio Albertini,ITA,Baroque
Albert of Paris,,Medieval
Prince Consort Albert,ENG,Romantic
Jean Albertsein,,
Per Hjort Albertsen,,
Stephen Albert,,Contemporary
Thomas Albert,,Contemporary
Giovanni Henrico Albicastro,,
Henricus Albicastro,CHE,Baroque
Helge Albin,,
Filippo Albini,ITA,
Tomaso Giovanni Albinoni,ITA,Baroque
Moonyeen Albrecht,,Modern
Anton Albrechtsberger,,
Johann Georg Albrechtsberger,AUT,Classical
Vincenzo Albrici,ITA,Baroque
William Albright,USA,Contemporary
Anne Albritton,,Contemporary
Mark Alburger,,
Luna Alcalay,,
Gregory Alchevsky,UKR,
S. Alcock,,
Walter Alcock,ENG,Modern
Marc'Antonio Aldigatti,,
Aldo Franchetti / Heinrich Heine,,
Henry Aldrich,ENG,Baroque
Robert Aldridge,USA,Contemporary
Giuseppe Aldrovandini,ITA,Baroque
Alec Wilder / Morty Palitz,,Modern
Manuel Alejandro,,
Boris Aleksandrov,RUS,Modern
Nikolai Ivanovich Aleksandrov,RUS,
Pavel Alekseev,,
Andrés Alén,,
Aloysio de Alencar Pinto,,
Vittoria Aleotti,ITA,Renaissance
Yuri Aleskerov,,
Rinaldo Alessandrini,,Baroque
Alexander Alexandrov,RUS,Modern
Alexander Arutiunian / Arno Babajanian,,Modern
Elizabeth Alexander,,
James Woodie Alexander,,
John Alexander,USA,
Meister Alexander,,
Russell Alexander,,Modern
Alexander "Sasha" Argov,,
Liana Alexandra,,
Alexander Vasilyevich Alexandrov,RUS,Modern
Anatoly Alexandrov,RUS,Modern
Nicolai Alexandrow,,
Alex Gordon,,
W. Aleyn,ENG,Medieval
Franco Alfano,ITA,Modern
Vasily Sergeyevich Alferiev,,
Hilarion Alfeyev,,
José Alfonso,PRT,Contemporary
Alfonso X (el Sabio),ESP,Medieval
Kenneth J. Alford (AKA Frederick Joseph Ricketts),,Modern
Harry L. Alford,,Modern
Hugo Alfvén,SWE,Late- / Post-Romantic
Léon Algazi,,
Al Goodhart / Edward G. Nelson,,Modern
A. Aliakrinsky,RUS,
Alice Gomez / Jessita Reyes,,
Bonaventura Aliotti,,
Richard Alison,ENG,Renaissance
Franghiz Ali-Zadeh,AZE,Contemporary
Charles-Valentin Alkan,FRA,Romantic
Henk Alkema,,Contemporary
Richard Allain,,
Douglas Allanbrook,,
Thierry Alla,,
Gregorio Allegri,ITA,Baroque
Lorenzo Allegri,ITA,Baroque
Dmitry Allemanov,RUS,Late- / Post-Romantic
Eugene W. Allen,,
Geoffrey Allen,AUS,
George Allen,,
Robert Allen,,
Claude Loyola Allgén,,
Gabriel Allier,,
Richard Allison,ENG,
Donald E. Allured,,Baroque
Lincoln Almada,,
Samuel Alman,,
Zoltan Almashi,UKR,
Al McKay / Maurice White / Allee Willis,,
Francisco Antonio de Almeida,PRT,Baroque
Hermínio de Almeida,BRA,
Laurindo Almeida,BRA,Modern
José Antônio Rezende de Almeida Prado,,
Atso Almila,,Contemporary
Jan Alm,,
Carl Jonas Love Almqvist,SWE,Romantic
Eyvind Alnaes,NOR,Modern
Aminadav Aloni,USA,
Alonso,ESP,
Eduardo Alonso-Crespo,ARG,Contemporary
Tony Alonso,,
Muhannaed Al-Qasabgi,EGY,
Fahmi Alqhai,,
Carlos Roqué Alsina,FRA,Modern
Birgitte Alsted,DNK,Contemporary
Riad Al-Sumbáti,EGY,
Johann Ernst Altenburg,DEU,Classical
Michael Altenburg,DEU,Baroque
Bjørn Alterhaug,,Modern
Israel Alter,,
Ragnar Althén,,Modern
Laurie Altman,,
Ludwig Altman,,
W.L. Altman,,
Johann Christoph Altnickol,DEU,Baroque
Olga Alushina,RUS,Contemporary
Eblis Álvarez,,
Fermin Maria Alvarez,ESP,Romantic
Javier Álvarez,MEX,Contemporary
Roberto Daniel Alvarez,,
Maria de Alvear,,Contemporary
Bill Alves,,
Richard Alwood,,Renaissance
William Alwyn,ENG,Modern
Alexander Alyabyev,RUS,Romantic
Karim Al-Zand,CAN/USA,
Luis C. Amadori,,
Nikolai N. Amani,RUS,Romantic
Masamichi Amano,JPN,
Armand Amar,FRA,Baroque
Mina Amare,NLD,Contemporary
Juan Albert Amargos,,Contemporary
S. Amato,,
Efraìn Amaya,VEN,Contemporary
Luis Fernando Amaya,,
R. S. Ambrose,,
Ambrosian Chant,,
Claudio Ambrosini,ITA,Modern
Ambrosius of Mailand,,
Victor Amicola,,
Joseph-Marie Amiot,,Baroque
Emanuel Amiran,,
Charles Amirkhanian,USA,Contemporary
Robert Amirkhanian,,
Fikret Amirov,AZE,Modern
Magnar Åm,NOR,Modern
Dieter Ammann,,
Elias Nikolaus Ammerbach,DEU,Renaissance
John Amner,ENG,Baroque
Ilija Ampevski,,
David Amram,USA,Contemporary
Prosper Amtmann,,
Steven Amundson,,
Gilbert Amy,FRA,Contemporary
Avraham Amzallag,,
Anat Pick / Oleg Timofeyev / Natalia Timofeyeva,,
Bo An,,
Cheng-bi An,,
Juan de Anchieta,ESP,Renaissance
Don Giovanni Giovenale Ancina,ITA,Renaissance
Solomon Ancis,,
Jorge Anckermann,,
Charles Ancliffe,,Modern
Selmi Andak,,
Anders Blomqvist / Åke Parmerud,,
Benny Andersen,,
Joachim Andersen,,Romantic
Johannes Andersen,,
Hans Anders,,
Andrew (A.J.) Anderson,AUS,Contemporary
Beth Anderson,,Contemporary
Daniel Anderson,,
Gary Anderson,,
Julian Anderson,ENG,Contemporary
Keiron Anderson,ENG,
Leroy Anderson,USA,Modern
Martha J. Anderson,,Romantic
William Anderson,,Contemporary
Willie Anderson,,
B. Tommy Andersson,,Contemporary
Otto Andersson,,
Kevork Andonian,,
Darija Andovska,MKD,Contemporary
Volkmar Andreae,,Modern
Andrea Mati / Franco Poggiali Berlinghieri,,
Robert Andreasian,,
Andreas Jakob Romberg / Bernhard Heinrich Romberg,,
Elfrida Andrée,SWE,Modern
Johann Anton André,DEU,
Marc André,,Contemporary
Mark Andre,,
Maurice André,FRA,
Roberto Andreoni,,Contemporary
André Philidor / Jacques Philidor,,
Bernard Andres,,
Timo Andres,,
André Thomas,,Modern
Mario Andretti,,
Kerry Andrew,ENG,
Vasily Vasilievich Andreyev,RUS,
Hendrik Andriessen,NLD,Modern
Louis Andriessen,NLD,Contemporary
Franciscus Andrieu,FRA,Medieval
Victor Andrini,,
Felice Anerio,ITA,Baroque
Giovanni Francesco Anerio,ITA,Baroque
Pasquale Anfossi,ITA,Classical
Angel Cabral / Javier Limon,,
Angel Esteva Loyola,,
Franck Angelis,FRA,Contemporary
Girolamo De Angelis,,
Angelo Bovio / G. Pasi,,
Anglican Chant,,
Giovanni Angrisani,,
Eduardo Angulo,,Contemporary
Héctor Angulo,,Modern
Manuel Angulo,,Contemporary
Giovanni Animuccia,ITA,Renaissance
Paolo Animuccia,,
Thomas Ankarcrona,SWE,Late- / Post-Romantic
Anna Amalia, Princess of Prussia,DEU,Classical
Anne Boleyn, Queen of England,,Contemporary
Ulf Anneken,,
Anonymous,,
Anonymous, 11th century French Polyphony,,
Anonymous, 13th Century,,
Anonymous, 14th Century Polyphony,,
Anonymous, 18th Century,,
Anonymous 4, members of,,
Anonymous, Ahrweil Antiphoner,,
Anonymous, American,USA,
Anonymous, Aquitanian Repertory,FRA,Medieval
Anonymous, Arabic,,
Anonymous, Armenian,ARM,
Anonymous, Austrian,AUT,
Anonymous, Bayeux Manuscript,FRA,
Anonymous, Bolivian,,
Anonymous, Bolognese Codex Q18,,
Anonymous, Bulgarian,,
Anonymous, Bury St. Edmund's Manuscript,,
Anonymous, Buxheimer Orgelbuch,,
Anonymous, Canciero de Montecassino,,
Anonymous, Cancionero de Palacio,,
Anonymous, Cancionero de Upsala,,
Anonymous, Canconer del duc de Calabria,,
Anonymous, Cantigas de Santa Maria,ESP,
Anonymous, Carmina Burana,ITA,
Anonymous, Catalonian,ESP,
Anonymous, Celler Tabulature,,
Anonymous, Chansonnier Cordiforme,,
Anonymous, Chinese,CHN,
Anonymous, Cistercian,,
Anonymous, Codex Bamberg,,
Anonymous, Codex Calixtinus,,
Anonymous, Codex Chantilly,FRA,Medieval
Anonymous, Codex Engelberg 314,,
Anonymous, Codex Faenza,,
Anonymous, Codex Las Huelgas (c.1300),,
Anonymous, Codex Musicale (Bologna),,
Anonymous, Codex Paris Reina 6771,,
Anonymous, Cortona,,
Anonymous, Cyprus Manuscript,,
Anonymous, Czech,CZE,
Anonymous, Danish,,
Anonymous, Das Hamburger Antiphonar ND VI 471,DEU,
Anonymous, Dublin Virginal Book,IRL,
Anonymous, Dutch,,
Anonymous (Early Music),,
Anonymous, Ebstorf Songbook,,
Anonymous, Egerton Manuscript 2615,FRA,Medieval
Anonymous, Egerton Manuscript 3307,ENG,Medieval
Anonymous, El Cancionero de Colombina,,
Anonymous, El Escorial Codex J.B.2 San Lorenzo,,
Anonymous, English,ENG,
Anonymous, English Polyphony,,
Anonymous, English Virginal,ENG,
Anonymous, Finnish,FIN,
Anonymous, Flemish,BEL,
Anonymous, Florilegium selectissimorum Hymnorum,,
Anonymous Folk Songs,,
Anonymous, French,FRA,
Anonymous, Georgian,,
Anonymous, German,DEU,
Anonymous, Graduale Romanum, Toul,,
Anonymous, Graduel de Pairis,,
Anonymous, Greek,GRC,
Anonymous, Guernsey,,
Anonymous, Guerra Manuscript,,
Anonymous, Hebrew,,
Anonymous, Hor Tablature,,
Anonymous, Hortus deliciarum,,
Anonymous, Hymnaire de Pairis,,
Anonymous, Intabolatura Nova,,Renaissance
Anonymous, Irish,,
Anonymous, Italian,ITA,
Anonymous, Ivrea Codex,,
Anonymous, Jane Pickeringe's Lute Book,,
Anonymous, Japanese,JPN,
Anonymous, Jenaer Liederhandschrift,,
Anonymous, Karlsruhe LX,,
Anonymous, Latin,,
Anonymous, Llibre Vermell de Montserrat,,Medieval
Anonymous, Lochamber Liederbuch,,
Anonymous, Lumley Books,,
Anonymous, Lüneburger Organ Tablature,,
Anonymous, Lyra Davidica,,
Anonymous, Manuscript of the Holy Sepulchre of Jerusalem in the 12th century,,
Anonymous, Manuscrit du Puy,,
Anonymous, Manuscrit du Roi,FRA,Medieval
Anonymous, Medieval Hungarian Polyphony,,
Anonymous, Medieval Polyphony (12th-14th c.),,Medieval
Anonymous, Medingen Convent Manuscript,,
Anonymous, Mexican,MEX,
Anonymous, Monastery of Santes Creus,,
Anonymous, Montpellier MS (13th c.),FRA,Medieval
Anonymous, Mulliner Book,,
Anonymous, Musicque de joye,,Renaissance
Anonymous, Norwegian,NOR,
Anonymous, Notre Dame School (12th-13th c.),FRA,Medieval
Anonymous, Peruvian,PER,
Anonymous, Piæ Cantiones,,Baroque
Anonymous, Polish,POL,
Anonymous, Portuguese,PRT,
Anonymous, Prothimia Suavissima,,
Anonymous, Renaissance dances,,
Anonymous, Riedsche Handschrift,,
Anonymous, Ritson Manscript,ENG,Renaissance
Anonymous, Robertsbridge Codex,,Medieval
Anonymous, Rossi Codex, Vatican,,Medieval
Anonymous, Rostocker Liederbuch,,
Anonymous, Russian,RUS,
Anonymous, Schedelsches Liederbuch,,
Anonymous, Scottish,SCO,
Anonymous, Spanish,ESP,
Anonymous, Straloch Lute Book,SCO,
Anonymous, Suzanne van Soldt Manuscript,NLD,Renaissance
Anonymous, Swedish,SWE,
Anonymous, Swiss,CHE,
Anonymous, Trent Codex 89,,
Anonymous, Troubadour (12th-13th c.),FRA,Medieval
Anonymous, Trouvères,FRA,
Anonymous, Villancico,,
Anonymous, Wiener Minoritenkonvent, Manuscript Xiv 726,,
Anonymous, Worcester Antiphonarium,ENG,
Anonymous, Yiddish,,
Ansanus S (Senese),ITA,Renaissance
Mohammad Ansari,IRN,
John Ansell,,Modern
Costanzo Antegnati,ITA,Renaissance
John Antes,ENG,Classical
George Antheil,USA,Modern
Anthony Braxton / Taylor Ho Bynum,,
Pete Anthony,,
Andrea Antico,,Renaissance
John Antill,,Modern
Giovanni Battista Degli Antoni,ITA,Baroque
Antonio Giménez Manjón,ESP,
Francesco Antonioni,,
Giorgio Antoniotto,,
Theodore Antonious,GRC,Contemporary
Anton y Michelena,,
N. Antsev,,
Jorge Antunes,,Contemporary
Laci Ányos,,
Davide Anzaghi,,
David August von Apell,,Classical
Nikolaus Apel,,
Dace Aperane,,
Georges Aperghis,GRC,Contemporary
(Richard David James) Aphex Twin,,
Robert Ap Huw,,Renaissance
Saskia Apon,,
Hans Erich Apostel,AUT,Modern
Benedictus Appenzeller,,
Alessandro Appignani,,
Louis Applebaum,CAN,Modern
Mark Applebaum,USA,Contemporary
Robert Applebaum,,
Erik Applegate,,
Jon Appleton,USA,Contemporary
Lajos Aprily,,
Serafino Aquilano,,
St. Thomas Aquinas,,Renaissance
Alfredo Aracil,ESP,Contemporary
Atar Arad,ISR,Romantic
Juan de Aragüés,ESP,
D. Arakishvili,RUS,
Jesús Arámbarri,,Modern
Alexis Aranda,,
Juan Aranés,ESP,
György Arányi-Aschner,,
Gyorgy Aranyi,,
János Arany,HUN,
Boris Arapov,,
Juan de Araujo,ESP,Baroque
Jean-Baptiste Arban,FRA,Romantic
Thoinot Arbeau,FRA,Renaissance
H. W. Arberg,,
Enrique Fernandez Arbos,ESP,Modern
A. R. Bryer / Bill Mc Peters,,
Jacob Arcadelt,FRA,Renaissance
Paolo Arca,ITA,Contemporary
Julian Arcas,ESP,Romantic
Paul Archbold,,
Kimberly K. Archer,USA,Contemporary
Malcolm Archer,ENG,Contemporary
Violet Archer,CAN,Modern
Archie Gottler / Fay Meisel,,Modern
Serge Arcuri,,Contemporary
Luigi Arditi,ITA,Romantic
Anton Arensky,RUS,Late- / Post-Romantic
Manuel Arenzana,MEX,Romantic
Dominick Argento,USA,Modern
Giacomo Arigoni,,
A. Arijan,RUS,
Lubdicus Arimino,,
Attilio Ariosti,ITA,Baroque
Aristide Jean-Louis Hignard,FRA,
Rudolfo Arizaga,,Modern
Mikhail Arkadiev,RUS,Contemporary
Alexander Arkhangelsky,RUS,Romantic
Harold Arlen,USA,Modern
Walter Arlen,AUT,
Paul Arma (Imre Weisshaus),HUN/FRA,Modern
Jose Armandola,,
Howard Arman,,
Mark Armanini,CAN,
Mario Ruíz Armengol,,
Elinor Armer,,
Andrew Armstrong,USA,
Craig Armstrong,,Contemporary
John Gordon Armstrong,CAN,
Kit Armstrong,,
Louis Armstrong,,
Thomas Armstrong,ENG,Contemporary
Georgi Arnaoudov,,Contemporary
Ronald Arnatt,,Contemporary
Leo Arnaud,,Modern
Felix Arndt,,Modern
Richard Arnell,ENG,Modern
Michael Arne,ENG,Classical
Kim André Arnesen,NOR,
Thomas Augustine Arne,ENG,Classical
Carl Arnold,NOR/DEU,Romantic
David Arnold,,Contemporary
Ernst Arnold,AUT,
Friedrich Wilhelm Arnold,DEU,
Martin Arnold,,Contemporary
Matthew Arnold,,
Arnold Perlmutter / Herman Wohl,,Modern
Samuel Arnold,ENG,Classical
Sir Malcolm Arnold,ENG,Modern
Eduardo Arolas,ARG,Modern
Columbo Arona,,Romantic
Aron Strobel / Stefan Zauner,,
Joannes Arpinus,,
Vincente Arregui,,
Giulio Cesare Arresti,ITA,Baroque
Juan Crisóstomo Arriaga,BSQ,Romantic
Emilio Arrieta,,Romantic
Arrigo Cappelletti / Pietro Girardi,,
Carlo Arrigoni,,
Artur Arsoev,RUS,Contemporary
Ángel Arteaga,,
Edward Nicolay Artemyev,RUS,Contemporary
Matthias Arter,,Contemporary
Davey Arthur,IRL,
Edward Arthur,,
Graham Arthur,,
Arthur Wellesley Hughes,,Modern
Arthur Wood,,Modern
Nikolai Artsybushev,,
Vyacheslav Artyomov,RUS,Contemporary
Alexander Grigori Arutiunian,ARM,Modern
Boris Vladimirovich Asafyev,RUS,
Martin Åsander,SWE,Contemporary
Vincente Ascencio,,
Walter Aschaffenburg,,Modern
Joseph Ascher,ENG,Romantic
Mr. Ascue,,
Vicente Asencio,,Modern
Nils Henrik Asheim,,Modern
Ayala Asherov,,
Thomas Ashewell,,
Peter Ash,,Modern
Algernon Ashton,,
Shukhrat Ashurov,RUS,
Philip Ashworth,,
Daniel Asia,USA,Contemporary
Sergei Aslamazyan,,
Giammateo Asola,ITA,
David Asplin,,
Herman Asplöf,,
Jonas Asplund,,
Karl Asplund,,Modern
Clarice Assad,BRA/USA,
Sergio Assad,BRA,Contemporary
Caterina Assandra,ITA,Baroque
Rofino Bartolucci Da Assisi,,
Hugh Aston,ENG,Renaissance
Emanuele d' Astorga,ITA,Baroque
Miguel Astor,,
Levon Arami Astvatsatrian,ARM,
Slobodan Atanatskovich,RUS,
Atayde,,
Blas Atehortua,,Contemporary
George Athanasiadès,,Contemporary
Nikos Athanassakis,,
Ivor Atkins,ENG,Modern
Frederick C. Atkinson,,
Michael Atkinson,,Contemporary
Levon Atovmyan,ARM,
Pierre Attaingnant,FRA,Renaissance
C. Attenhofer,,
Kurt Atterberg,SWE,Modern
Luffman Atterbury,,
John Attey,ENG,Baroque
Jozsef Attila,,
Pekka Attinen,,
Thomas Attwood,ENG,Classical
Daniel-François-Esprit Auber,FRA,Romantic
Jacques Aubert,FRA,Baroque
Louis Aubert,FRA,Modern
Lera Auerbach,RUS,Contemporary
Leopold Auer,,
May Aufderheide,USA,Modern
Joseph Anton Auffmann,,
Vaclovas Augustinas,,Contemporary
August Wilhelm, Prince of Prussia,,Classical
Rafal Augustyn,,Contemporary
Laura Valborg Aulin,SWE,Modern
Tor Aulin,SWE,Late- / Post-Romantic
Franz Joseph Aumann,,
Georges Auric,FRA,Modern
Frederic Austin,,Modern
Larry Austin,USA,Contemporary
Georges Auvray,,Contemporary
Pedro Díaz de Aux,,Renaissance
Roland Auzet,,
Robert Avalon,,Contemporary
Artur Avanesov,ARM,Contemporary
William Averitt,,Modern
Antonio de Avila,,
Eric Avinger,,
Charles Avison,ENG,Baroque
Giuseppe A. Avitrano,,
Giuseppe Antonio Avitrano,ITA,
E. Avksentiev,,
Tzvi Avni,,
Pedro António Avondano,PRT,
Pietro Giorgio Avondano,,
Aaron Avshalomov,,Modern
David Avshalomov,USA,Modern
Jacob Avshalomov,USA,Modern
John Axelrod,,Contemporary
Lawrence Axelrod,,Modern
Sten Axelson,SWE,Modern
Hector Ayala,ARG,
William Aylesworth,,Contemporary
John Aylward,,
T. Aylward,,
Artemi Ayvazyan,ARM,Modern
Vaja Azarashvili,,
Carlos Azevedo,PRT,
Kinan Azmeh,SYR,
Sofa Aznaurian,ARM,Contemporary
Filippo Azzaiolo,ITA,Renaissance
Arno Babajanian,ARM,Modern
Vahram Babayan,ARM,
Milton Babbitt,USA,Modern
Trevor Babb,,
Bruce Babcock,,
Charles Babell,,
William Babell,ENG,Baroque
Victor Babin,,Modern
Mihaly Babits,,
Maciej Babnis,,
Thomas Babou,FRA,Baroque
Babyface,,
Luis Enríque Bacalov,ARG,Contemporary
Bacán,,
Salvador Bacarisse,ESP,Modern
Ippolito Baccusi,ITA,Renaissance
Vytautas Bacevicius,,
Grażyna Bacewicz,POL,Modern
Burt Bacharach,USA,Contemporary
Carl Philipp Emanuel Bach,DEU,Classical
Daniel Bacheler,ENG,Baroque
Alfred Bachelet,FRA,Late- / Post-Romantic
Erik Bach,DNK,Contemporary
Georg Christoph Bach,DEU,Baroque
Heinrich Bach,DEU,Baroque
Jan Bach,USA,Contemporary
Johann Bach,DEU,Baroque
Johann Bernhard Bach,DEU,Baroque
Johann Christian Bach,DEU,Classical
Johann Christoph Bach,DEU,Baroque
Johann Christoph Friedrich Bach,DEU,Classical
Johann Ernst Bach,DEU,Classical
Johann Jacob Bach,DEU,
Johann Ludwig Bach,DEU,Baroque
Johann Michael Bach,DEU,Baroque
Johann Nicolaus Bach,DEU,Baroque
Johann Sebastian Bach,DEU,Baroque
Gottlob Bachmann,,
Wilhelm Friedemann Bach,DEU,Classical
Wilhelm Friedrich Ernst Bach,DEU,Classical
Bénigne de Bacilly,FRA,Baroque
Agathe Backer Grøndahl,NOR,Romantic
Johann Georg Heinrich Backofen,DEU,Classical
Sven-Erik Bäck,SWE,Modern
Ernst Bacon,USA,Modern
Thomas Bacon,USA,Contemporary
Nicolas Bacri,FRA,Contemporary
Krzysztof Baculewski,,Modern
João de Badajós,PRT,Renaissance
Farhad Badalbeyli,,
Rosa Giacinta Badalla,,Baroque
Tekla Bądarzewska-Baranowska,POL,Romantic
Klaus Badelt,,Contemporary
Powell Baden,BRA,Modern
Jonathan Badger,,
Maya Badian,,
Henk Badings,,Modern
D. Badnjar,,
Carl Baermann,DEU,
Heinrich Baermann,DEU,Romantic
Carl Baermann III,DEU,Romantic
Emigdio Ayalo Baez,,
Eduard Bagdasarian,ARM,
Edward Baghtasarian,,Modern
Edwin Eugene Bagley,USA,Romantic
Elizabeta Bagriana,,
Carlos Baguer,ESP,Classical
Chengren Bai,,
Jirí Baier,,
Judith Bailey,ENG,
Alban Bailly,,
William Baines,ENG,
James Bain,,
Reginald Bain,,
Edgar Leslie Bainton,,Modern
Kenneth Baird,,Contemporary
Tadeusz Baird,,
Edward Bairstow,ENG,Modern
Feliksas Bajoras,,
Nikolai Romanovich Bakaleinikov,,
Vladimir Romanovich Bakaleinikov,,
Bill Baker,,
Claude Baker,,
David Nathaniel Baker,USA,Modern
Drew Baker,,
George Baker,NLD,Modern
Henry Baker,,Romantic
Larry Baker,,
Michael Conway Baker,,Contemporary
Philip Baker,,Modern
Richard Baker,,Modern
Bálint Bakfark,TSL,Renaissance
Hans Bakker,,
Robert Baksa,,Contemporary
Alexander Bakshi,RUS,
