name,country,period
Thorvald Aagaard,DNK,Modern
Heikki Aaltoila,FIN,Modern
Eduardo Flores Abad,ECU,Contemporary
W. Abas,,
Rocco Abate,ITA,
Erast Ageevitch Abaza,RUS,
Marcello Abbado,ITA,Contemporary
D. Isidoro Abbondo,,Baroque
Katy Abbott,AUS,
Riad Abdel-Gawad,EGY,Contemporary
Keiko Abe,JPN,Contemporary
Peter Abelard,FRA,Medieval
Carl Friedrich Abel,DEU,Classical
Helmut Abel,,Contemporary
David Abell,DNK,Renaissance
Mark Abel,USA,Contemporary
Michael Abels,USA,Contemporary
Johann Joseph Abert,DEU,Romantic
Abing (Hua Yanjun),CHN,
Peter Ablinger,AUT,Contemporary
Paul Abraham,HUN,Modern
Hans Abrahamsen,DNK,Modern
Maurice Abrahams,USA,
Armine A. Abrahamyan,ARM,Contemporary
Eduard Abramian,ARM,Modern
John Abram,ENG,Contemporary
Nikolay Ivanovich Abramychev,RUS,Late- / Post-Romantic
Emil Ábrányi,HUN,
Juan Manuel Contel Abras,ARG,
Zequinha de Abreu,BRA,Modern
Jean Absil,BEL,Modern
P. Joseph Absi,,
Franz Abt,,Romantic
Jad Nicholas Abumrad,USA,
Jean-Baptiste Accolay,BEL,Romantic
David Achenberg,,
Isidor Achron,,Modern
Joseph Achron,USA,Modern
Jane Achtman,DEU,
Dieter Acker,DEU,Contemporary
Lee Actor,USA,Contemporary
Ella von Schultz Adaïewski,RUS,Romantic
Marcial del Adalid,ESP,Romantic
Adolphe Adam,FRA,Romantic
Ondrej Adamek,FRA,
Emil Adamic,SVN,Impressionist
Michalis Adamis,GRC,Contemporary
Adam of St. Victor,FRA,Medieval
Mark Adamo,USA,Contemporary
Stephen Adams (born Michael Maybrick),ENG,
Bryan Guy Adams,CAN,Contemporary
Daniel Adams,USA,Contemporary
H. Leslie Adams,USA,Modern
John Adams,USA,Contemporary
John Luther Adams,USA,Contemporary
Lydia Adams,CAN,
Ray Vincent Adams,USA,Contemporary
Samuel Adams,,
Steve Adams,,
Judah E. Adashi,USA,
Murray Adaskin,CAN,Modern
Richard Addinsell,ENG,Modern
John Addison,GBR,Contemporary
Adele Adkins / Paul Epworth,,
Adelheid Krause-Pichler / Waldemar Wirsing,,
Dale Adelmann,USA,Contemporary
Hawley Ades,USA,Contemporary
Thomas Adès,ENG,Contemporary
Vasif Adigozalov,AZE,Contemporary
Christopher Adler,USA,
Hugo Chaim Adler,BEL,Modern
James Adler,USA,Contemporary
Richard Adler,USA,Modern
Richard Ernest Adler,CHE,Romantic
Samuel Adler,USA,Modern
Anton Cajetan Adlgasser,DEU,Classical
Bruce Adolphe,USA,Contemporary
Julia Adolphe,USA,Contemporary
Olle (Gustaf Edvin) Adolphson,SWE,Contemporary
Theodor W. Adorno,DEU,Modern
Emanuel Adriaenssen,NLD,Renaissance
Adrian Dahl / Fredrik Nycander,,
Lisandro Adrover,ARG,Contemporary
John Adson,ENG,Baroque
Endre Ady,HUN,
Nicolai Afanassiev,RUS,Romantic
Esin Afşar,TUR,Contemporary
Elena Agababova,RUS,Contemporary
Vladislav Agafonnikov,RUS,
Vasily Agapkin,RUS,Late- / Post-Romantic
Zeki Mehmed Aga,TUR,
Amy Agbary,,
Goran Agdur,SWE,Contemporary
Klaus Ager,AUT,Contemporary
Milton Ager,USA,Modern
Giovanni-Battista Agneletti,ITA,Baroque
Lorenzo Agnelli,ITA,Baroque
Carl-Bertil Agnestig,SWE,Contemporary
Roy Agnew,AUS,
Jean-Louis Agobet,FRA,Contemporary
Kati Agócs,CAN,
Ardashes Agoshian,,
Lodovico Agostini,ITA,Renaissance
Johan Joachim Agrell,SWE,Baroque
Alexander Agricola,FLM,Renaissance
Dionisio y García Aguado,ESP,Romantic
Ernani Aguiar,,
Juan Bautista Del Águila,,Classical
Miguel del Aguila,USA,Contemporary
Guillermo Aguilar,,
José María Aguilar,URY,
Sante Aguilar,,Classical
Sebastián Aguilera de Heredia,ESP,Baroque
Francisco de Paula Aguirre,VEN,Late- / Post-Romantic
Julián Aguirre,ARG,Late- / Post-Romantic
