artist,genre,country
UR DRAUGR,Tech/Extreme Prog Metal,Australia
UR KAOS,RIO/Avant-Prog,Sweden
URANIAN,Heavy Prog,Argentina
URBAN NOMAD,Eclectic Prog,Canada
URBAN TRAPEZE,Symphonic Prog,Spain
TH RBANE,Crossover Prog,United Kingdom
MICHA RBANIAK,Jazz Rock/Fusion,Poland
URDOG,Psychedelic/Space Rock,United States
URIAH HEEP,Heavy Prog,United Kingdom
URNA,Progressive Electronic,Italy
URNA,Experimental/Post Metal,Italy
URSA,Post Rock/Math rock,Spain
DEZ RSINY,Crossover Prog,Slovakia
TH RSULA MINOR,Psychedelic/Space Rock,Tunisia
URTHONA,Post Rock/Math rock,Japan
US,Neo-Prog,Netherlands
US AND THEM,Prog Folk,Sweden
US ON ROOFS,Post Rock/Math rock,United States
TH SA IS A MONSTER,Psychedelic/Space Rock,United States
USER NE,Experimental/Post Metal,Spain
UT GRET,RIO/Avant-Prog,United States
UTOPIA,Progressive Metal,Italy
UTOPIA,Krautrock,Germany
UTOPIA,Eclectic Prog,United States
UTOPIA 239,Rock Progressivo Italiano,Italy
TH TOPIA STRONG,Krautrock,United Kingdom
UTOPIAN FIELDS,Neo-Prog,Norway
UTOPIAN TRAP,Progressive Metal,United States
UTOPIANISTI,Jazz Rock/Fusion,Finland
UTOPIC SPORADIC ORCHESTRA,Zeuhl,France
UTTU,Crossover Prog,Finland
UTU,Crossover Prog,Finland
UUUU,Krautrock,United Kingdom
UZ JSME DOMA,RIO/Avant-Prog,Czech Republic
UZEB,Jazz Rock/Fusion,Canada
UZRUJAN,Post Rock/Math rock,Croatia
UZVA,Jazz Rock/Fusion,Finland
