artist,genre,country
M'Z,Jazz Rock/Fusion,France
M-ARTEL,Jazz Rock/Fusion,Russia
M-OPUS,Symphonic Prog,Ireland
MA BANLIEUE FLASQUE,Eclectic Prog,France
MAAD,Jazz Rock/Fusion,Italy
MAAILMANPUU,Crossover Prog,Finland
MAAT LANDER,Psychedelic/Space Rock,Russia
JAME AC GAW,Zeuhl,France
TON ACALPINE,Progressive Metal,United States
MACARTHUR,Crossover Prog,United States
MACCHINA PNEUMATICA,Rock Progressivo Italiano,Italy
JOH ACEY,Jazz Rock/Fusion,United States
IA ACFARLANE,Progressive Electronic,Australia
ALEX ACHACEK,Jazz Rock/Fusion,Austria
MACHIAVEL,Eclectic Prog,Belgium
MACHINE AND THE SYNERGETIC NUTS,Jazz Rock/Fusion,Japan
MACHINE MASS,Jazz Rock/Fusion,Multi-National
TH ACHINE,Psychedelic/Space Rock,Netherlands
MACHINES DREAM,Crossover Prog,Canada
DUNCA ACKAY,Symphonic Prog,United Kingdom
MACKENZIE THEORY,Jazz Rock/Fusion,Australia
MACONDO,Psychedelic/Space Rock,Peru
MACROMARCO,Neo-Prog,Italy
MACROMASSA,RIO/Avant-Prog,Spain
MACROSCREAM,Rock Progressivo Italiano,Italy
MAD ARTWORK,Heavy Prog,Sweden
MAD CRAYON,Rock Progressivo Italiano,Italy
MAD CURRY,Jazz Rock/Fusion,Belgium
MAD FELLAZ,Eclectic Prog,Italy
MAD PUPPET,Neo-Prog,Italy
MAD TEA PARTY,Neo-Prog,Germany
MADAME BLAVATSKY OVERDRIVE,Crossover Prog,United States
MADAME CLAUS,Symphonic Prog,Argentina
MADÁRFOGÁS,Experimental/Post Metal,Hungary
TH ADCAP LAUGHS,Crossover Prog,United Kingdom
MADDEN AND HARRIS ,Prog Folk,Australia
MADDER MORTEM,Tech/Extreme Prog Metal,Norway
MADE IN SWEDEN,Jazz Rock/Fusion,Sweden
MADE OUT OF BABIES,Experimental/Post Metal,United States
MADELGAIRE,Neo-Prog,Belgium
MADEMOISELLE MARQUEE,Psychedelic/Space Rock,United Kingdom
MADISON DYKE,Symphonic Prog,Germany
MADMEN AND SINNERS,Progressive Metal,United States
MICHE ADORE,Psychedelic/Space Rock,Canada
MADRE ATOMICA,Jazz Rock/Fusion,Argentina
MADRIGAL,Crossover Prog,United States
MADRIGAL,Heavy Prog,Germany
MADRUGADA,Rock Progressivo Italiano,Italy
MADSWORD,Progressive Metal,Italy
MAELSTROM,Jazz Rock/Fusion,United States
MAELSTROM,Eclectic Prog,Canada
MAEROR TRI,Progressive Electronic,Germany
MAESTRICK,Progressive Metal,Brazil
MAESTRO TRYTONY,RIO/Avant-Prog,Poland
MAGDALENA,Prog Folk,Spain
MAGDALENA,Symphonic Prog,Japan
MAGDALENA SOLIS,Krautrock,Belgium
MAGELLAN,Heavy Prog,United States
MAGELLANMUSIC,Prog Related,United States
MAGELLANS GHOST,Crossover Prog,United States
MAGENTA,Neo-Prog,United Kingdom
MAGG,Progressive Metal,Mexico
TH AGIC BAND,RIO/Avant-Prog,United States
MAGIC BUS,Canterbury Scene,United Kingdom
MAGIC CARPET,Indo-Prog/Raga Rock,United Kingdom
MAGIC ELF,Progressive Metal,United States
MAGIC LANTERN,Psychedelic/Space Rock,United States
MAGIC MUSCLE,Psychedelic/Space Rock,United Kingdom
MAGIC PIE,Symphonic Prog,Norway
MAGIC SPELL,Symphonic Prog,Switzerland
MAGICAL PLANETS,Eclectic Prog,United States
MAGICAL POWER MAKO,Psychedelic/Space Rock,Japan
MAGICFOLK,Prog Folk,United Kingdom
MAGICIAN'S RED,Symphonic Prog,Finland
MAGICK BROTHER AND MYSTIC SISTER,Psychedelic/Space Rock,Spain
MAGINA,Progressive Electronic,Portugal
MAGISTER DIXIT,Zeuhl,France
JOOS AGLEV,Crossover Prog,Netherlands
MAGMA,Krautrock,Germany
MAGMA,Prog Folk,Argentina
MAGMA,Zeuhl,France
MAGNA CARTA,Prog Related,United Kingdom
MAGNA VICE,Heavy Prog,Finland
MAGNATAR,Crossover Prog,United States
MAGNÉSIS,Neo-Prog,France
MAGNETIC SOUND MACHINE,Jazz Rock/Fusion,Italy
MAGNETIK NORTH,Krautrock,Multi-National
MAGNITUDE 9,Progressive Metal,United States
MAGNOG,Psychedelic/Space Rock,United States
MAGNOLIA,Rock Progressivo Italiano,Italy
MAGNUM,Prog Related,United Kingdom
NIC AGNUS,Symphonic Prog,United Kingdom
MÄGO DE OZ,Progressive Metal,Spain
MAGRATHEA,Symphonic Prog,United Kingdom
MAGYAR POSSE,Post Rock/Math rock,Finland
MAHAGON,Jazz Rock/Fusion,Czech Republic
MAHAVISHNU ORCHESTRA,Jazz Rock/Fusion,Multi-National
TH AHAVISHNU PROJECT,Jazz Rock/Fusion,United States
MAHESH,Experimental/Post Metal,Chile
MAHJUN,Jazz Rock/Fusion,France
MAHOGANY BRAIN,Krautrock,France
MAHOGANY FROG,Eclectic Prog,Canada
MAHOUJIN,Symphonic Prog,Japan
MAHTRAK,Jazz Rock/Fusion,Brazil
MAID MYRIAD,Crossover Prog,United States
BRUC AIN,Crossover Prog,United States
PEP AINA,Progressive Electronic,Italy
MAINHORSE,Symphonic Prog,Switzerland
MAINLINER,Psychedelic/Space Rock,Japan
MAJA DE RADO & PORODICNA MANUFAKTURA CRNOG HLEBA,Prog Folk,Yugoslavia
MAJESTIC,Progressive Metal,Sweden
MAJESTIC,Neo-Prog,United States
MAJESTIC X,Crossover Prog,United States
MAJEURE,Progressive Electronic,United States
MAJOR PARKINSON,Eclectic Prog,Norway
MAJUTSU NO NIWA,Psychedelic/Space Rock,Japan
MAKAJODAMA,Eclectic Prog,Sweden
MAKE A RISING,RIO/Avant-Prog,United States
MAKKIWHIPDIES,Eclectic Prog,United States
MAKO,Progressive Electronic,Austria
MALAAVIA,Rock Progressivo Italiano,Italy
MALACHI,Indo-Prog/Raga Rock,United States
MALACHI,Crossover Prog,United Kingdom
MALADY,Psychedelic/Space Rock,Finland
MALDOROR,Symphonic Prog,France
LE ALEDICTUS SOUND,Proto-Prog,France
DIDIE ALHERBE,Jazz Rock/Fusion,France
MALIBRAN,Rock Progressivo Italiano,Italy
MALICORNE,Prog Folk,France
MALLEUS,Rock Progressivo Italiano,Italy
ERI ALMBERG,Progressive Electronic,Sweden
YNGWI ALMSTEEN,Prog Related,Sweden
MALOMBRA,Heavy Prog,Italy
MALOMENOS,Neo-Prog,Chile
BRIA ALONE,Prog Folk,United States
SEA ALONE,Jazz Rock/Fusion,United States
MALPRACTICE,Progressive Metal,Finland
MAMALEEK,Experimental/Post Metal,United States
MAMMA NON PIANGERE ,RIO/Avant-Prog,Italy
MAMMAL MACHINE,Psychedelic/Space Rock,Japan
MAMMATUS,Psychedelic/Space Rock,United States
MAMMOTH,Experimental/Post Metal,New Zealand
MAMMUT,Eclectic Prog,Germany
MAN,Psychedelic/Space Rock,United Kingdom
MAN DOKI SOULMATES,Jazz Rock/Fusion,Multi-National
MAN MAN,RIO/Avant-Prog,United States
MAN MAY BE,Progressive Metal,United States
MAN MOUNTAIN,Post Rock/Math rock,United States
MAN ON FIRE,Eclectic Prog,United States
MAN ZERO,Post Rock/Math rock,Croatia
MANATEES,Experimental/Post Metal,United Kingdom
MANBURGER SURGICAL,Psychedelic/Space Rock,United States
BARI ANCO,Crossover Prog,Turkey
MANCUNIAN CANDIDATE,Crossover Prog,United States
MANDALABAND,Symphonic Prog,United Kingdom
MANDIBULBE,Experimental/Post Metal,France
MANDILLO,Crossover Prog,Italy
MANDRAGORA,Neo-Prog,Argentina
MANDRAKE,Symphonic Prog,Japan
TH ANDRAKE MEMORIAL,Psychedelic/Space Rock,United States
MANDRAKE PROJECT,Crossover Prog,United States
MANDRILL,Jazz Rock/Fusion,United States
MANDROID ECHOSTAR,Progressive Metal,Canada
MANEIGE,Jazz Rock/Fusion,Canada
MATHEU ANENTE,Progressive Metal,Brazil
MANES,Experimental/Post Metal,Norway
MANGALA VALLIS,Rock Progressivo Italiano,Italy
MANGEUR DE RĘVES,Prog Folk,Canada
